metric,mean,sd,min,max,median,window
RMSD,0.4638,0.1102,0.000,1.052,0.459,overall
rGyr,4.1470,0.0402,4.012,4.249,4.148,overall
intraHB,0.0000,0.0000,0.000,0.000,0.000,overall
MolSA,297.8377,1.7648,292.819,303.660,297.810,overall
SASA,73.4098,18.9199,34.504,128.973,70.249,overall
PSA,76.3284,2.5036,65.528,83.583,76.492,overall
RMSD,0.4500,0.0944,0.209,0.741,0.453,frames_500_1000
rGyr,4.1476,0.0388,4.012,4.249,4.147,frames_500_1000
intraHB,0.0000,0.0000,0.000,0.000,0.000,frames_500_1000
MolSA,297.6458,1.7274,293.219,303.337,297.587,frames_500_1000
SASA,84.0270,17.9410,38.160,128.973,86.621,frames_500_1000
PSA,76.0825,2.5388,65.528,83.583,76.233,frames_500_1000
