metric,mean,sd,min,max,median,window
RMSD,0.4429,0.1725,0.0,1.461,0.392,overall
rGyr,4.0685,0.0898,3.806,4.232,4.086,overall
intraHB,0.0,0.0,0,0,0,overall
MolSA,330.0622,2.2927,322.499,336.123,330.122,overall
SASA,86.6884,16.1454,45.679,153.206,84.889,overall
PSA,201.9284,3.7121,183.791,211.701,202.199,overall
RMSD,0.4892,0.184,0.201,1.461,0.447,frames_500_1000
rGyr,4.0989,0.0452,3.952,4.198,4.103,frames_500_1000
intraHB,0.0,0.0,0,0,0,frames_500_1000
MolSA,329.7943,2.4471,322.499,334.725,330.016,frames_500_1000
SASA,95.7344,14.6931,60.313,153.206,93.533,frames_500_1000
PSA,201.703,2.9092,187.655,208.462,201.995,frames_500_1000
