metric,mean,sd,min,max,median,window
RMSD,0.3384,0.1013,0.000,0.844,0.327,overall
rGyr,4.1468,0.0405,3.982,4.283,4.148,overall
intraHB,0.0000,0.0000,0.000,0.000,0.000,overall
MolSA,298.0751,1.7122,291.634,304.691,298.035,overall
SASA,49.8182,12.0025,12.438,95.194,49.377,overall
PSA,77.1822,2.3619,70.512,83.718,77.150,overall
RMSD,0.3445,0.0981,0.123,0.676,0.334,frames_500_1000
rGyr,4.1421,0.0394,3.982,4.260,4.142,frames_500_1000
intraHB,0.0000,0.0000,0.000,0.000,0.000,frames_500_1000
MolSA,298.1640,1.7186,293.131,304.691,298.150,frames_500_1000
SASA,54.4864,10.9861,28.501,95.194,53.685,frames_500_1000
PSA,77.2844,2.3055,70.672,83.253,77.169,frames_500_1000
