metric,mean,sd,min,max,median,window
RMSD,0.3139,0.1092,0.000,1.110,0.299,overall
rGyr,4.1514,0.0394,3.994,4.253,4.152,overall
intraHB,0.0000,0.0000,0.000,0.000,0.000,overall
MolSA,297.7416,1.7650,290.983,303.805,297.710,overall
SASA,56.0407,15.1455,15.985,114.310,55.364,overall
PSA,76.2463,2.6406,67.457,83.238,76.395,overall
RMSD,0.3071,0.1003,0.100,0.673,0.295,frames_500_1000
rGyr,4.1513,0.0371,4.048,4.253,4.152,frames_500_1000
intraHB,0.0000,0.0000,0.000,0.000,0.000,frames_500_1000
MolSA,297.5176,1.6856,292.264,302.630,297.496,frames_500_1000
SASA,62.5810,13.8581,34.334,114.310,61.372,frames_500_1000
PSA,75.8686,2.7031,67.457,82.870,76.060,frames_500_1000
